県コード	県	消費者物価指数
1	北海道	100.2
2	青森県	99.5
3	岩手県	98.9
4	宮城県	98.3
5	秋田県	97.3
6	山形県	101.5
7	福島県	101.4
8	茨城県	99.3
9	栃木県	100.9
10	群馬県	97.5
11	埼玉県	103.3
12	千葉県	99.1
13	東京都	105.9
14	神奈川県	106
15	新潟県	99.1
16	富山県	98.7
17	石川県	101.4
18	福井県	98.6
19	山梨県	99.9
20	長野県	98.1
21	岐阜県	98.2
22	静岡県	100
23	愛知県	99.1
24	三重県	100.6
25	滋賀県	99.6
26	京都府	101.2
27	大阪府	100.6
28	兵庫県	102.2
29	奈良県	97.4
30	和歌山県	102
31	鳥取県	98.3
32	島根県	100.7
33	岡山県	100.3
34	広島県	99.8
35	山口県	100
36	徳島県	99.8
37	香川県	98.1
38	愛媛県	98.9
39	高知県	99.8
40	福岡県	97.5
41	佐賀県	97.5
42	長崎県	102.4
43	熊本県	100
44	大分県	98.2
45	宮崎県	97.1
46	鹿児島県	98
47	沖縄県	101.2
