県コード	都道府県	非正規雇用比率	普通世帯総数	非正規雇用数	労働者派遣事業所の派遣社員	パート・アルバイト・その他
1	北海道	1.63714712269273	2947200	310850	42990	267860
2	青森県	11.1149188942198	437700	48250	8160	40090
3	岩手県	31.3527695474182	442130	48650	7090	41560
4	宮城県	2.56549219442841	1420780	138620	24400	114220
5	秋田県	9.12224448897796	374250	36450	5420	31030
6	山形県	18.2636601158696	352120	34140	4970	29170
7	福島県	17.7041852265752	635330	64310	12930	51380
8	茨城県	6.74092370788088	1072850	112480	19200	93280
9	栃木県	10.8476258754757	725320	72320	13230	59090
10	群馬県	45.4261939724495	715050	78680	14040	64640
11	埼玉県	7.86428746200809	3392170	324820	49750	275070
12	千葉県	26.8880210585301	2890990	266770	44850	221920
13	東京都	4.63231401985123	11089490	777330	139450	637880
14	神奈川県	1.57687670034748	6311210	513700	88720	424980
15	新潟県	3.32491210713213	1132060	99520	12850	86670
16	富山県	11.2540963951722	375330	37640	5820	31820
17	石川県	5.83059324781179	431860	42240	5550	36690
18	福井県	13.4289802082505	251620	25180	3250	21930
19	山梨県	22.3487156463458	311830	33790	4510	29280
20	長野県	11.0593456982452	680420	69690	9130	60560
21	岐阜県	27.7023364421032	719470	75250	10270	64980
22	静岡県	19.8513026422535	1947580	199310	33140	166170
23	愛知県	1.64642664709712	4101610	386620	67110	319510
24	三重県	7.67621112215097	664260	67530	13120	54410
25	滋賀県	30.2078043826413	512020	50990	10150	40840
26	京都府	28.7106064346252	1822950	154670	19340	135330
27	大阪府	5.15499213970355	5578670	523380	82340	441040
28	兵庫県	1.47761870829824	3087400	287580	42070	245510
29	奈良県	6.40049188781784	504180	45620	5590	40030
30	和歌山県	5.43101455974116	346160	32270	4080	28190
31	鳥取県	12.5407337327867	190260	18800	2020	16780
32	島根県	36.6258445945946	236800	23860	3330	20530
33	岡山県	14.7302433486352	1012950	86730	11490	75240
34	広島県	3.31639090155366	1664460	149210	19060	130150
35	山口県	3.82249030590263	580250	55200	6270	48930
36	徳島県	13.7158956109134	269760	22180	3460	18720
37	香川県	12.9026368639316	383410	37000	5340	31660
38	愛媛県	4.63338948488341	563950	49470	5760	43710
39	高知県	111.929512281951	280900	26130	2840	23290
40	福岡県	0.923723222014395	3304020	314410	46930	267480
41	佐賀県	17.7923279481887	281020	30520	3570	26950
42	長崎県	16.1455550437586	542750	50000	5420	44580
43	熊本県	4.59435944231055	942460	87630	13500	74130
44	大分県	9.33195737332042	474820	43300	6050	37250
45	宮崎県	13.9820977736975	435700	44310	6350	37960
46	鹿児島県	10.8605038903298	647760	60920	5840	55080
47	沖縄県	14.0307140007978	501400	70350	10290	60060
