県コード	県名	消費支出
01	北海道	285200
02	青森県	243600
03	岩手県	274000
04	宮城県	287900
05	秋田県	266600
06	山形県	308600
07	福島県	288600
08	茨城県	286300
09	栃木県	329200
10	群馬県	298700
11	埼玉県	329400
12	千葉県	299200
13	東京都	325000
14	神奈川県	298000
15	新潟県	278800
16	富山県	339600
17	石川県	335900
18	福井県	283500
19	山梨県	300100
20	長野県	311300
21	岐阜県	270800
22	静岡県	286600
23	愛知県	306500
24	三重県	301300
25	滋賀県	291000
26	京都府	304900
27	大阪府	267200
28	兵庫県	260400
29	奈良県	324600
30	和歌山県	265000
31	鳥取県	268400
32	島根県	281800
33	岡山県	285600
34	広島県	291900
35	山口県	294400
36	徳島県	320100
37	香川県	306200
38	愛媛県	259800
39	高知県	319500
40	福岡県	300400
41	佐賀県	272700
42	長崎県	256300
43	熊本県	279700
44	大分県	284200
45	宮崎県	250500
46	鹿児島県	290800
47	沖縄県	225900
